"Thor is most often associated with which of these objects?","A yo-yo","A hammer","A feather duster",1,1
"Which Chris does NOT play an Avenger in the Marvel Cinematic Universe?","Tarrant","Evans","Hemsworth",0,2
"Which of these materials is interwoven into Black Panther's suit?","Batmanium","Vibranium","Kryptonite",1,3
"In “Guardians of the Galaxy”, what is the title of Quill's mixtape?","Awesome Mix Vol. 1","Galaxy Sounds","Throwback Grooves",0,4
"How does Iron Man introduce Spider-Man at the airport in “Captain America: Civil War”?","Underoos","My secret son","Spider-Boy",0,5
"Which of these characters is NOT introduced during the end credits of “The Winter Soldier”?","Scarlet Witch","Quicksilver","Proxima Midnight",2,6
"In which movie is Stan Lee mistaken for Larry King?","Iron Man 2","Spider-Man: Homecoming","Doctor Strange",0,7
"What is the wi-fi password that Mordo hands to Doctor Strange?","Shadowland","Shamballa","Wakanda",1,8
"In his first standalone movie, what is the name on Thor’s driving licence?","Eric Masterson","Kenneth Branagh","Dr. Donald Blake",2,9
"In 2012's “Avengers Assemble”, where does Natasha Romanoff first meet Bruce Banner?","Calcutta","Algiers","Karachi",0,10
"Which book causes Scott to cry in “Ant-Man and the Wasp”?","The Notebook","The Fault in Our Stars","P.S. I Love You",1,11
"Which of these does NOT feature in the UK version of Captain America's list of things to catch up on?","Sean Connery","Monty Python","Thai Food",1,12
"Which of these is a movie based on an 80s television series of the same name?","5 Backstreet Boys","21 Jump Street","10 Downing Street",1,2
"China has banned the showing of movies containing which type of content?","Extraterrestrials","Superheroes","Time travel",2,7
"Which of these Shakespeare characters has been played by Leonardo DiCaprio?","Romeo","King Lear","Hamlet",0,4
"Which of these is a 2016 remake of a classic Western from the 1960s?","The Terrific Five","The Super-duper Six","The Magnificent Seven",2,1
"In the 2017 movie “Justice League”, who played the role of Batman's butler Alfred?","Jeremy Irons","Jeremy Kyle","Jeremy Clarkson",0,2
"Which instrument does Will Ferrell play in “Anchorman”?","Jazz flute","Bagpipes","Glass harmonica",0,3
"In “The Silence of the Lambs”, Dr Hannibal Lecter is described as having which former profession?","Racing driver","Interior designer","Psychiatrist",2,4
"Who plays the Sheriff of Nottingham in the most recent Robin Hood movie?","Ben Mendelsohn","Tim Minchin","Jamie Foxx",0,5
"Which of these actor's performances was cut from “The Life of Pi” after the director changed his mind?","Tobey Maguire","Elijah Wood","Viggo Mortensen",0,6
"In “The Exorcist”, which actress was the voice behind most of the demon's dialogue?","Ferrari MacOxford","Ford O'Yale","Mercedes McCambridge",2,7
"Mica Levi composed the soundtrack for which of these sci-fi movies?","Under the Skin","Moon","Her",0,8
"Which of these movies was adapted from a Japanese novel?","Edge of Tomorrow","Vanilla Sky","Looper",0,9
"The movie "Interview with the Vampire" featured an actor famous for appearing in which sitcom?","Fawlty Towers","Blackadder","Only Fools and Horses",2,10
"A movie by which of these directors did NOT win the Palme d'Or at Cannes in the 80s?","Martin Scorsese","Wim Wenders","Steven Soderbergh",0,11
"Who originally bought the rights to Damian Chazelle's recent movie about Neil Armstrong?","Steven Spielberg","Christopher Nolan","Clint Eastwood",2,12
"Prior to landing the role of 007, Pierce Brosnan appeared in a series of 80s TV ads for which type of drink?","Irish whiskey","Fizzy pop","Mineral water",1,8
"Which of these movies failed to win any Academy Awards?","The Wolf of Wall Street","Zero Dark Thirty","Spectre",0,12
"Quentin Tarantino cited which horror movie as a major influence on “The Hateful Eight”?","The Shining","The Cabin in the Woods","The Thing",2,16
"The original as well as a cover version of which James Bond theme were both nominated for a Grammy?","Diamonds Are Forever","Live and Let Die","Goldfinger",1,7
"What did Margot Robbie reveal as the main title of the new Harley Quinn movie?","Little Black Book","Mother Panic","Birds of Prey",2,9
"Jedi derive power from which of these?","Spinach","C-3PO's complaints","The Force",2,1
"Which of these actors has NOT appeared in a Star Wars movie?","Dominic West","Joel Edgerton","Aiden Gillen",2,3
"Which of these is the correct “Empire Strikes Back” quotation?","No, I am your father","I am your father, Luke","Luke, I am your father",0,4
"Which of these characters is from Corellia?","Jabba the Hutt","Jar Jar Binks","Han Solo",2,5
"Which of these directors appeared in “The Phantom Menace”?","Quentin Tarantino","Sofia Coppola","Wes Anderson",1,6
"Which of these planets contains a city in its clouds?","Dagobah","Bespin","Naboo",1,7
"AT-TE stands for “All Terrain” what?","Training Enhancer","Tactical Enforcer","Trooper Equipment",1,8
"Which of these is NOT a member of the Jedi Council in “Attack of the Clones”?","Plo Koon","Yoda","Obi-Wan Kenobi",2,9
"As explained in “Rogue One”, which of the following powers the Death Star's superlaser?","Tibanna gas","Rhydonium","Kyber crystals",2,10
"Which of these Star Wars movies does NOT feature the “Imperial March” theme?","A New Hope","The Phantom Menace","Rogue One",0,11
"Which of these characters made their first appearance in “Return of the Jedi”?","Nien Nunb","Zuckuss","Wes Janson",0,12
"Which mobile operator has also produced the most expensive movie in the history of Bollywood?","Lebara","Virgin Mobile","Lycamobile",2,10
"Who was cast as Lincoln in the 2012 movie before the part went to Daniel Day-Lewis?","Christian Bale","Tom Hanks","Liam Neeson",2,10
"Which of these movies was nominated for this year's Best Picture Oscar?","Lady Bird","Grasshopper","Daddy Long Legs",0,1
"Clint Eastwood starred in the 1979 movie “Escape from” where?","Wormwood Scrubs","Azkaban","Alcatraz",2,2
"The Palme d'Or is an award given for the best film at which major film festival?","Cannes Film Festival","Sundance Film Festival","Venice Film Festival",0,3
"In the Bond film “Skyfall”, to what does the title refer?","A country mansion","A military operation","A weather phenomenon",0,4
"The opening scene of Quentin Tarantino's debut release involves a conversation about which of these?","McDonald's","Mardi Gras","Madonna",2,5
"Which one of these stars has NOT won an acting Oscar?","Helen Hunt","Amy Adams","Susan Sarandon",1,6
"Which of these groups had a cameo appearance in “The King of Comedy”?","The Band","The Clash","U2",1,7
"What did NASA choose as its worst science fiction movie of all time?","Armageddon","2012","The Core",1,8
"Which of these British movie directors once filmed an ad for Sonic the Hedgehog?","Kevin Macdonald","Tom Hooper","Sam Mendes",1,9
